wavelength,intensity
610.9,2.2988e+13
611.24,2.2988e+13
611.57,2.2988e+13
611.9,2.2988e+13
612.23,2.3153e+13
612.56,2.3153e+13
612.89,2.3714e+13
613.22,2.4021e+13
613.55,2.4021e+13
613.88,2.3992e+13
614.21,2.2846e+13
614.54,2.2846e+13
614.87,2.3206e+13
615.2,2.4033e+13
615.53,2.4033e+13
615.87,2.5587e+13
616.2,2.4256e+13
616.53,2.347e+13
616.86,2.4037e+13
617.19,2.3561e+13
617.52,2.4037e+13
617.85,2.3657e+13
618.18,2.3657e+13
618.51,2.3525e+13
618.84,2.3525e+13
619.17,2.3525e+13
619.5,2.3525e+13
619.83,2.3752e+13
620.16,2.3752e+13
620.49,2.4414e+13
620.82,2.3752e+13
621.14,2.4414e+13
621.47,2.5284e+13
621.8,2.6249e+13
622.13,2.6249e+13
622.46,2.716e+13
622.79,2.7396e+13
623.12,2.7396e+13
623.45,2.7338e+13
623.78,2.7469e+13
624.11,2.8135e+13
624.44,2.7366e+13
624.77,2.7366e+13
625.1,2.6701e+13
625.43,2.7366e+13
625.75,2.6701e+13
626.08,2.6701e+13
626.41,2.7366e+13
626.74,2.7366e+13
627.07,2.7366e+13
627.4,2.7528e+13
627.73,2.6187e+13
628.06,2.5555e+13
628.38,2.5555e+13
628.71,2.4122e+13
629.04,2.4122e+13
629.37,2.4749e+13
629.7,2.4749e+13
630.03,2.3916e+13
630.36,2.3003e+13
630.68,2.2355e+13
631.01,2.2112e+13
631.34,2.2112e+13
631.67,2.231e+13
632,2.231e+13
632.32,2.3137e+13
632.65,2.3137e+13
632.98,2.231e+13
633.31,2.231e+13
633.64,2.231e+13
633.96,2.3098e+13
634.29,2.3788e+13
634.62,2.3788e+13
634.95,2.3127e+13
635.27,2.1996e+13
635.6,2.1996e+13
635.93,2.0246e+13
636.26,2.0246e+13
636.58,2.0405e+13
636.91,2.0597e+13
637.24,2.0597e+13
637.57,2.0365e+13
637.89,2.1639e+13
638.22,2.1639e+13
638.55,2.1639e+13
638.87,2.1128e+13
639.2,2.1249e+13
639.53,2.1639e+13
639.86,2.2657e+13
640.18,2.2425e+13
640.51,2.157e+13
640.84,2.1628e+13
641.16,2.1307e+13
641.49,2.1307e+13
641.82,2.1307e+13
642.14,2.1307e+13
642.47,2.0587e+13
642.8,2.0587e+13
643.12,2.0587e+13
643.45,2.0587e+13
643.78,2.0587e+13
644.1,2.1141e+13
644.43,2.1141e+13
644.75,2.1141e+13
645.08,2.2756e+13
645.41,2.2756e+13
645.73,2.2756e+13
646.06,2.2654e+13
646.39,2.278e+13
646.71,2.278e+13
647.04,2.3017e+13
647.36,2.3017e+13
647.69,2.3017e+13
648.01,2.3017e+13
648.34,2.3189e+13
648.67,2.3804e+13
648.99,2.3804e+13
649.32,2.3804e+13
649.64,2.3678e+13
649.97,2.3804e+13
650.29,2.3804e+13
650.62,2.3678e+13
650.94,2.3678e+13
651.27,2.2887e+13
651.59,2.0714e+13
651.92,1.9254e+13
652.25,1.9087e+13
652.57,1.8305e+13
652.9,1.8305e+13
653.22,1.8305e+13
653.55,1.8305e+13
653.87,1.8325e+13
654.2,1.745e+13
654.52,1.6434e+13
654.84,1.6434e+13
655.17,1.6434e+13
655.49,1.8325e+13
655.82,1.7124e+13
656.14,1.9295e+13
